Sir Anthony Absolute 
Stage Manager 
Monroe Stahr 
Starbuck 
Willie Stark 
James Steerforth 
Lambert Strether 
Esther Summerson 
Charles and Joseph Surface 
Sutpen family 
Svengali 
Charles Swann 
Verena Tarrant 
Tarzan 
Tattycoram 
Suky Tawdry 
Lady Teazle 
William Tell 
Becky Thatcher 
Thomas Bigger 
Thomas the Tank Engine 
Sadie Thompson 
Christopher Tietjens 
Tinker Bell 
Titania 
Tituba 
Topsy 
Tristan 
Betsey Trotwood 
Sergeant Francis Troy 
Tweedledum and Tweedledee 
Oliver Twist 
Uncle Tom 
Urizen 
Jean Valjean 
Valmont 
Philo Vance 
Dolly Varden 
Varner family 
Diggory Venn 
Captain Vere 
Rosamond Vincy 
Viola 
Count Aleksey Vronsky 
Eustacia Vye 
Dr. Watson 
Weird Sisters 
Sam Weller 
Frederick Wentworth 
Werther 
Sophia Western 
Simon Wheeler 
White Rabbit 
Agnes Wickfield 
Tom Wilcher 
Damon Wildeve 
Pudd’nhead Wilson 
Lord Peter Wimsey 
Wingfield family 
Wise Men of Gotham 
Wolfdietrich 
Nero Wolfe 
Emma Woodhouse 
Bertie Wooster 
